"ULS Canelas (HCA1)","21:37","","21:43","","21:49","22:07","21:55","22:13","22:01","22:19","22:37","22:25","22:43","22:31","22:49","23:07","22:55","23:13","23:01","23:19","","23:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JF Canelas (JFC)","21:38","","21:44","","21:50","22:08","21:56","22:14","22:02","22:20","22:38","22:26","22:44","22:32","22:50","23:08","22:56","23:14","23:02","23:20","","23:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas (CAN)","21:39","","21:45","","21:51","22:09","21:57","22:15","22:03","22:21","22:39","22:27","22:45","22:33","22:51","23:09","22:57","23:15","23:03","23:21","","23:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avenida da Europa (AVE)","21:39","","21:45","","21:51","22:09","21:57","22:15","22:03","22:21","22:39","22:27","22:45","22:33","22:51","23:09","22:57","23:15","23:03","23:21","","23:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Travessa do Couto (TVCO)","21:39","","21:45","","21:51","22:09","21:57","22:15","22:03","22:21","22:39","22:27","22:45","22:33","22:51","23:09","22:57","23:15","23:03","23:21","","23:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Espregueira (ESG)","21:40","","21:46","","21:52","22:10","21:58","22:16","22:04","22:22","22:40","22:28","22:46","22:34","22:52","23:10","22:58","23:16","23:04","23:22","","23:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serrinha (SER)","21:41","","21:47","","21:53","22:11","21:59","22:17","22:05","22:23","22:41","22:29","22:47","22:35","22:53","23:11","22:59","23:17","23:05","23:23","","23:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruzeiro (CRZ)","21:42","","21:48","","21:54","22:12","22:00","22:18","22:06","22:24","22:42","22:30","22:48","22:36","22:54","23:12","23:00","23:18","23:06","23:24","","23:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Travessa do Olival (TVO)","21:42","","21:48","","21:54","22:12","22:00","22:18","22:06","22:24","22:42","22:30","22:48","22:36","22:54","23:12","23:00","23:18","23:06","23:24","","23:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cimo de Vila (CVL)","21:43","","21:49","","21:55","22:13","22:01","22:19","22:07","22:25","22:43","22:31","22:49","22:37","22:55","23:13","23:01","23:19","23:07","23:25","","23:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Suporte/Wait Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cimo de Vila (CVL)","21:49","21:37","21:55","21:43","22:01","22:19","22:07","22:25","22:13","22:31","22:49","22:37","22:55","22:43","23:01","23:19","23:07","23:25","23:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Travessa do Olival (TVO)","21:50","21:38","21:56","21:44","22:02","22:20","22:08","22:26","22:14","22:32","22:50","22:38","22:56","22:44","23:02","23:20","23:08","23:26","23:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruzeiro (CRZ)","21:50","21:38","21:56","21:44","22:02","22:20","22:08","22:26","22:14","22:32","22:50","22:38","22:56","22:44","23:02","23:20","23:08","23:26","23:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serrinha (SER)","21:51","21:39","21:57","21:45","22:03","22:21","22:09","22:27","22:15","22:33","22:51","22:39","22:57","22:45","23:03","23:21","23:09","23:27","23:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Espregueira (ESG)","21:52","21:40","21:58","21:46","22:04","22:22","22:10","22:28","22:16","22:34","22:52","22:40","22:58","22:46","23:04","23:22","23:10","23:28","23:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Travessa do Couto (TVCO)","21:53","21:41","21:59","21:47","22:05","22:23","22:11","22:29","22:17","22:35","22:53","22:41","22:59","22:47","23:05","23:23","23:11","23:29","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avenida da Europa (AVE)","21:53","21:41","21:59","21:47","22:05","22:23","22:11","22:29","22:17","22:35","22:53","22:41","22:59","22:47","23:05","23:23","23:11","23:29","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas (CAN)","21:53","21:41","21:59","21:47","22:05","22:23","22:11","22:29","22:17","22:35","22:53","22:41","22:59","22:47","23:05","23:23","23:11","23:29","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
